school,latitude,longitude
Alcova Elementary School,33.5805,-83.5357
Alford Elementary School,33.92549965,-84.07083248565023
Anderson-Livsey Elementary School,33.77547,-84.05007160227274
Annistown Elementary School,33.4812,-84.0407
Arcado Elementary School,33.5224,-84.0825
Archer High School,33.91589055,-83.89347288987145
Baggett Elementary School,33.5657,-84.0357
Baldwin Elementary School,33.9387245,-84.2037716
Bay Creek Middle School,33.875514,-83.9601789
Beaver Ridge Elementary School,33.9342689,-84.1732509
Benefield Elementary School,33.5716,-84.0149
Berkeley Lake Elementary School,33.5840,-84.1109
Berkmar High School,33.90692405,-84.11491144187141
Berkmar Middle School,33.90364005,-84.1281264941546
Bethesda Elementary School,33.9253811,-84.0854685
Britt Elementary School,33.85203,-84.0101343
Brookwood Elementary School,33.88099535,-84.04159030648995
Brookwood High School,33.883342299999995,-84.04130364467798
Buice Center,34.0019,-84.0403
Burnette Elementary School,34.0150,-840344
Camp Creek Elementary School,33.5140,-84.0700
Cedar Hill Elementary School,33.927262049999996,-84.02232527690941
Centerville Elementary School,33.8228843,-84.0357455
Central Gwinnett High School,33.9489926,-83.9996298
Chattahoochee Elementary School,34.0182265,-84.14766817848047
Chesney Elementary School,33.5735,-84.0849
Coleman Middle School,34.0014,-84.0834
Collins Hill High School,34.0165587,-84.0210152
Cooper Elementary School,33.5328,-83.5452
Corley Elementary School,33.9366206,-84.12305269826194
Couch Middle School,33.9007033,-83.9669932
Craig Elementary School,33.90213635,-84.01844338114682
Creekland Middle School,34.001598,-84.0078418
Crews Middle School,33.906966600000004,-84.00974153238744
Dacula Elementary School,33.99974765,-83.90324160031258
Dacula High School,33.99160385,-83.89967158413998
Dacula Middle School,33.99180045,-83.89534278954329
Discovery High School,33.955675400000004,-84.03482776383278
Duluth High School,34.0098229,-84.1443598
Duluth Middle School,33.987445550000004,-84.1583893261834
Duncan Creek Elementary School,34.0753104,-83.8714163
Dyer Elementary School,33.5947,-83.5612
Ferguson Elementary School,33.5703,-84.0720
Five Forks Middle School,33.8839911,-84.06924569400792
Fort Daniel Elementary School,34.0448461,-83.9238928
Freeman's Mill Elementary School,34.029,-83.9339
Grace Snell Middle School,33.841662400000004,-83.94391889511479
Graves Elementary School,33.9017949,-84.22421212277148
Grayson Elementary School,33.891593900000004,-83.95705161263163
Grayson High School,33.8685422,-83.9240404
Gwin Oaks Elementary School,33.8954782,-84.074083689569
Harbins Elementary School,33.9437916,-83.8575307
